number,minor_num,major_num,taxonID,scientificName,taxonRank,taxonomicStatus
001.000,0,1,cfd651cb3bc3,Lycopodiales DC. ex Bercht. &amp; J. Presl,order,accepted
002.000,0,2,5bc834df530f,Isoetales Prantl,order,accepted
003.000,0,3,df979b22f5ed,Selaginellales Prantl,order,accepted
004.000,0,4,0540595b960e,Equisetales DC. ex Bercht. &amp; J. Presl,order,accepted
005.000,0,5,a8b8fa348d78,Psilotales Prantl,order,accepted
006.000,0,6,70cd8bfc89ab,Ophioglossales Link,order,accepted
007.000,0,7,1cc584374300,Marattiales Link,order,accepted
008.000,0,8,48cd62aca98f,Osmundales Link,order,accepted
009.000,0,9,1d7bb32d2d15,Gleicheniales Schimp.,order,accepted
012.000,0,12,180fc4cc4876,Hymenophyllales A. B. Frank,order,accepted
013.000,0,13,2267e8e55f90,Schizaeales Schimp.,order,accepted
016.000,0,16,d6925a1fd5d9,Salviniales Bartl.,order,accepted
018.000,0,18,720e2c42c9cd,Cyatheales A. B. Frank,order,accepted
026.000,0,26,2561a12680cf,Polypodiales Link,order,accepted
